season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2020-2021,57,Wad Elnaw,0.76,0.34,0.66,2.88,1.76,0.35,0.78,0.35,0.65,2.92,1.78,0.35,0.01,0.05,0.4,0.17,0.1,0.11,0.87,0.6,0.95,6,3.67,0.44,0.08,0.08,0.08,0.88,0.54,0.03,0.74,0.3,0.6,2.33,1.42,0.33,0.25,0.8,0.4,0.7,3.42,2.1,0.37,0.75
2020-2021,88,Elbasatna,0.75,0.35,0.65,2.95,1.81,0.35,0.78,0.36,0.64,2.98,1.82,0.35,0,0.06,0.41,0.16,0.1,0.12,0.88,0.59,0.94,5.89,3.6,0.46,0.1,0.09,0.09,0.95,0.58,0.04,0.74,0.29,0.6,2.35,1.44,0.33,0.25,0.81,0.4,0.71,3.58,2.19,0.37,0.75
2020-2021,Abdah_Fadul,Tabat,0.72,0.24,0.76,1.86,1.14,0.3,0.75,0.24,0.76,1.82,1.11,0.3,0,0.05,0.5,0.08,0.05,0.07,0.86,0.5,0.95,4.73,2.9,0.47,0.09,0.07,0.07,0.64,0.39,0.04,0.69,0.19,0.71,1.42,0.87,0.28,0.25,0.78,0.29,0.81,2.23,1.37,0.32,0.75
2020-2021,Abu_Gin,Kab_Elgidad,0.74,0.26,0.74,2.01,1.23,0.3,0.77,0.27,0.73,1.99,1.22,0.29,0,0.04,0.51,0,0,0,0.87,0.49,0.96,5.18,3.17,0.51,0.1,0.07,0.07,0.69,0.42,0.04,0.72,0.22,0.69,1.59,0.98,0.27,0.25,0.79,0.31,0.78,2.42,1.48,0.32,0.75
2020-2021,Abu_Hawa,Elhafair,0.72,0.25,0.75,2.13,1.3,0.34,0.74,0.25,0.75,2.12,1.3,0.33,0.2,0.07,0.58,0.45,0.27,0.2,0.83,0.42,0.93,4.06,2.49,0.42,0.07,0.06,0.06,0.59,0.36,0.03,0.7,0.21,0.71,1.76,1.08,0.32,0.25,0.77,0.29,0.79,2.48,1.52,0.35,0.75
2020-2021,Abu_Quta,Abd_ElMagid,0.74,0.23,0.77,1.79,1.1,0.29,0.77,0.25,0.75,1.82,1.12,0.29,0,0.03,0.55,0.03,0.02,0.04,0.87,0.45,0.97,4.92,3.01,0.5,0.09,0.07,0.07,0.61,0.37,0.04,0.73,0.2,0.72,1.43,0.87,0.27,0.25,0.79,0.28,0.8,2.17,1.33,0.31,0.75
2020-2021,Abu_Usher,Al_Gourashi,0.74,0.27,0.73,2.09,1.28,0.31,0.77,0.28,0.72,2.08,1.27,0.3,0,0.04,0.49,0.02,0.01,0.02,0.86,0.51,0.96,4.93,3.02,0.49,0.09,0.07,0.07,0.68,0.42,0.04,0.72,0.22,0.68,1.65,1.01,0.28,0.25,0.79,0.32,0.78,2.5,1.53,0.33,0.75
2020-2021,Affan,Matouri,0.76,0.28,0.72,2.25,1.38,0.33,0.77,0.27,0.73,2.16,1.32,0.32,0.03,0.05,0.45,0.08,0.05,0.05,0.89,0.55,0.95,5.36,3.28,0.45,0.07,0.07,0.07,0.7,0.43,0.03,0.73,0.23,0.68,1.8,1.1,0.31,0.25,0.8,0.32,0.77,2.64,1.61,0.35,0.75
2020-2021,Al_Awamrah,Abd_ElMagid,0.74,0.23,0.77,1.75,1.07,0.29,0.76,0.23,0.77,1.7,1.04,0.29,0.02,0.03,0.41,0.08,0.05,0.09,0.86,0.59,0.97,5.91,3.62,0.48,0.09,0.07,0.07,0.66,0.41,0.04,0.72,0.19,0.73,1.33,0.82,0.27,0.25,0.79,0.27,0.81,2.11,1.29,0.31,0.75
2020-2021,Al_Saadana,Turabi,0.74,0.27,0.73,2.1,1.28,0.31,0.77,0.27,0.73,2.08,1.27,0.3,0,0.04,0.49,0.05,0.03,0.03,0.87,0.51,0.96,4.98,3.05,0.49,0.09,0.07,0.07,0.66,0.4,0.04,0.72,0.22,0.68,1.66,1.02,0.28,0.25,0.8,0.32,0.78,2.5,1.53,0.32,0.75
2020-2021,Umm_Juha,Turabi,0.74,0.26,0.74,2.13,1.3,0.3,0.77,0.27,0.73,2.15,1.32,0.3,0,0.03,0.53,0.02,0.01,0.02,0.87,0.47,0.97,4.89,2.99,0.51,0.11,0.08,0.08,0.78,0.48,0.05,0.72,0.21,0.69,1.62,0.99,0.28,0.25,0.79,0.31,0.79,2.62,1.6,0.33,0.75
2020-2021,Turabi_Al_Riyasa,Turabi,0.73,0.27,0.73,2.07,1.27,0.3,0.77,0.27,0.73,2.05,1.25,0.3,0,0.04,0.53,0.01,0.01,0.01,0.87,0.47,0.96,5.1,3.12,0.48,0.11,0.08,0.08,0.77,0.47,0.05,0.71,0.22,0.68,1.59,0.97,0.27,0.25,0.8,0.32,0.78,2.58,1.58,0.32,0.75
2020-2021,Wad_Bala,Turabi,0.74,0.27,0.73,2.23,1.36,0.31,0.77,0.29,0.71,2.25,1.38,0.31,0,0.04,0.53,0.03,0.02,0.03,0.86,0.47,0.96,4.78,2.93,0.48,0.11,0.08,0.08,0.78,0.48,0.04,0.72,0.23,0.67,1.74,1.07,0.29,0.25,0.8,0.33,0.77,2.7,1.65,0.33,0.75
2020-2021,Fargin,Kab_Elgidad,0.75,0.26,0.74,2.1,1.29,0.3,0.78,0.27,0.73,2.1,1.29,0.3,0,0.03,0.47,0.05,0.03,0.04,0.86,0.53,0.97,5.34,3.27,0.49,0.09,0.08,0.08,0.75,0.46,0.04,0.73,0.21,0.68,1.61,0.98,0.28,0.25,0.8,0.32,0.79,2.6,1.59,0.32,0.75
2020-2021,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.74,0.23,0.77,1.7,1.04,0.29,0.76,0.23,0.77,1.7,1.04,0.28,0.19,0.05,0.44,0.29,0.17,0.2,0.86,0.56,0.95,5.54,3.39,0.46,0.07,0.06,0.06,0.52,0.32,0.04,0.71,0.19,0.74,1.39,0.85,0.27,0.25,0.78,0.26,0.81,1.99,1.22,0.3,0.75
2020-2021,Fawar,Tabat,0.73,0.24,0.76,1.81,1.11,0.3,0.75,0.24,0.76,1.81,1.11,0.29,0,0.04,0.58,0.07,0.04,0.05,0.85,0.42,0.96,4.2,2.57,0.48,0.08,0.06,0.06,0.53,0.33,0.04,0.71,0.2,0.72,1.47,0.9,0.27,0.25,0.78,0.28,0.8,2.15,1.32,0.31,0.75
