season,section,division,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile
2020-2021,57,Wad Elnaw,0.75,0.51,0.49,4.62,1.75,0.27,0.77,0.54,0.46,4.9,1.86,0.27,0,0.09,0.12,0.08,0.03,0.03,0.85,0.88,0.91,8.01,3.04,0.31,0.07,0.11,0.11,1.14,0.43,0.02,0.75,0.46,0.42,4.16,1.58,0.27,0.25,0.79,0.58,0.54,5.35,2.03,0.28,0.75
2020-2021,88,Elbasatna,0.77,0.53,0.47,4.95,1.88,0.28,0.78,0.55,0.45,5.11,1.94,0.28,0,0.08,0.2,0.19,0.07,0.07,0.85,0.8,0.92,7.88,2.99,0.32,0.06,0.11,0.11,1.19,0.45,0.02,0.75,0.47,0.39,4.4,1.67,0.28,0.25,0.8,0.61,0.53,5.72,2.17,0.29,0.75
2020-2021,Abdah_Fadul,Tabat,0.76,0.45,0.55,4.94,1.87,0.32,0.78,0.48,0.52,5.25,1.99,0.33,0,0.07,0.26,0.25,0.1,0.09,0.86,0.74,0.93,8.58,3.26,0.38,0.08,0.11,0.11,1.46,0.56,0.03,0.75,0.39,0.47,4.24,1.61,0.32,0.25,0.8,0.53,0.61,5.93,2.25,0.34,0.75
2020-2021,Abu_Gin,Kab_Elgidad,0.76,0.46,0.54,5.39,2.04,0.35,0.79,0.48,0.52,5.68,2.16,0.35,0,0.05,0.28,0,0,0,0.85,0.72,0.95,9.79,3.72,0.43,0.09,0.11,0.11,1.54,0.58,0.04,0.76,0.41,0.47,4.73,1.79,0.34,0.25,0.8,0.53,0.59,6.41,2.43,0.37,0.75
2020-2021,Abu_Hawa,Elhafair,0.75,0.46,0.54,4.88,1.85,0.3,0.77,0.47,0.53,5.11,1.94,0.31,0.22,0.1,0.27,0.55,0.21,0.16,0.85,0.73,0.9,8.49,3.22,0.36,0.06,0.1,0.1,1.22,0.46,0.02,0.74,0.41,0.47,4.32,1.64,0.3,0.25,0.78,0.53,0.59,5.69,2.16,0.32,0.75
2020-2021,Abu_Quta,Abd_ElMagid,0.76,0.41,0.59,4.83,1.83,0.34,0.79,0.43,0.57,5.18,1.96,0.35,0,0.04,0.33,0.08,0.03,0.06,0.86,0.67,0.96,9.09,3.45,0.42,0.09,0.12,0.12,1.6,0.61,0.04,0.76,0.34,0.51,4.05,1.54,0.34,0.25,0.81,0.49,0.66,5.93,2.25,0.36,0.75
2020-2021,Abu_Usher,Al_Gourashi,0.77,0.48,0.52,5.32,2.02,0.33,0.79,0.5,0.5,5.59,2.12,0.34,0,0.05,0.24,0,0,0,0.87,0.76,0.95,9.3,3.53,0.4,0.09,0.11,0.11,1.48,0.56,0.03,0.76,0.43,0.45,4.71,1.79,0.33,0.25,0.81,0.55,0.57,6.29,2.38,0.35,0.75
2020-2021,Affan,Matouri,0.76,0.49,0.51,5,1.9,0.29,0.77,0.51,0.49,5.27,2,0.3,0,0.07,0.26,0.19,0.07,0.07,0.84,0.74,0.93,8.05,3.05,0.34,0.07,0.1,0.1,1.27,0.48,0.03,0.75,0.44,0.44,4.46,1.69,0.29,0.25,0.79,0.56,0.56,5.86,2.22,0.31,0.75
2020-2021,Al_Awamrah,Abd_ElMagid,0.76,0.41,0.59,4.84,1.83,0.35,0.79,0.43,0.57,5.2,1.97,0.36,0,0.05,0.3,0.16,0.06,0.09,0.87,0.7,0.95,8.18,3.1,0.42,0.1,0.12,0.12,1.64,0.62,0.04,0.75,0.34,0.51,3.91,1.48,0.34,0.25,0.81,0.49,0.66,6.02,2.29,0.37,0.75
2020-2021,Al_Saadana,Turabi,0.78,0.49,0.51,5.64,2.14,0.35,0.8,0.51,0.49,5.87,2.23,0.35,0,0.06,0.21,0,0,0,0.88,0.79,0.94,9.58,3.64,0.42,0.07,0.12,0.12,1.52,0.58,0.03,0.77,0.43,0.43,4.96,1.88,0.34,0.25,0.82,0.57,0.57,6.61,2.51,0.36,0.75
2020-2021,Umm_Juha,Turabi,0.77,0.43,0.57,5.32,2.02,0.37,0.79,0.45,0.55,5.62,2.13,0.37,0,0.05,0.29,0.06,0.02,0.03,0.86,0.71,0.95,9.18,3.48,0.45,0.08,0.11,0.11,1.58,0.6,0.03,0.76,0.37,0.49,4.5,1.71,0.36,0.25,0.81,0.51,0.63,6.42,2.43,0.38,0.75
2020-2021,Turabi_Al_Riyasa,Turabi,0.78,0.44,0.56,5.2,1.97,0.35,0.8,0.45,0.55,5.5,2.09,0.36,0,0.06,0.29,0,0,0,0.88,0.71,0.94,8.68,3.29,0.43,0.09,0.11,0.11,1.56,0.59,0.04,0.77,0.38,0.49,4.5,1.71,0.35,0.25,0.82,0.51,0.62,6.21,2.36,0.37,0.75
2020-2021,Wad_Bala,Turabi,0.77,0.44,0.56,5.21,1.98,0.35,0.79,0.47,0.53,5.5,2.09,0.35,0,0.04,0.32,0,0,0,0.87,0.68,0.96,8.82,3.35,0.43,0.09,0.11,0.11,1.49,0.56,0.04,0.76,0.39,0.48,4.43,1.68,0.34,0.25,0.81,0.52,0.61,6.25,2.37,0.37,0.75
